,Content,Label
82,I had hoped to ask him to join me for a drink or something after the show (if my courage would allow such a thing) but he left before the end and I didn't see him after that.,Unfulfilled
83,"When I finally got the camera, I immediately wanted to start filming.",Fulfilled
84,I wanted to regroup and prepare for battle so I laid him down while I pseudo relaxed (e-mails are my friend).,Fulfilled
85,I just wanted to write a quick post to let you know about all the excitement I've had so far this weekend.,Fulfilled
86,"I knew it would not turn out that light on me, but I wanted to tone down the darkness my hair had soaked up last time I colored.",Fulfilled
87,When I was twelve I wanted to be a baseball player.,Unfulfilled
88,"So we took him home, but by that time, he was weak and all he wanted to do was sleep.",Unfulfilled
89,Why make a wet chamois leather flogger I have only been flogged with one of these once but it was a very special experience and I have wanted to own one ever since.,Unfulfilled
90,I wanted to die.,Unfulfilled
91,"My dad all wanted to ask me for your mums autograph but I told him that was rude and probably a bit irritating at least for you, so don't worry about it.",Unfulfilled
92,I know that I lost a bunch of money in this egg but I really [wanted to] hatch one.,Fulfilled
93,I've always [wanted to] go to Boston.,Unknown
94,"He was however a decent ride off of the trailer, I [wanted to] see what they had let him get away with while he was in their care.",Unknown
95,"Then one day I [wanted to] create my second email, so I chose Yahoo.com to host it.",Fulfilled
96,"I left a message to my probation officer explaining what had happened & to call me back if he [wanted to] see me,no call so far.",Unfulfilled
97,"I didn't see nearly as much as I [wanted to], partly because I took so long over lunch.",Unfulfilled
98,"We told you these things so that you would finance the things we really [wanted to] build, not the things that you [wanted to] be built.",Unknown
99,"Even so, I was near the end and I [wanted to] see if the author was going to pull some amazing ending out of his ass.",Unfulfilled
100,"Well in case you [wanted to] know, I kinda forgot that I had one of these but my friend Kellie was talking about it the other day so I decided to give it another go.",Fulfilled
101,I am sure he will tell you something different but I [wanted to] set the records straight before he bends them.,Unknown
102,"Shakes head* I couldn't take that along with not talking to him and the whole distance thing any longer so... I sent him a text saying that it would be better if we were just friends now instead since we both aren't doing anything for our relationship, if it could have been called that, but that I still [wanted to] remain his friend and would just vanish for awhile so he can get his life straight again.",Unknown
103,"But on Friday evening, I was rather busy, doing things in the apartment and at the computer, which I [wanted to] do before going to my parents, but the evening was nice.",Fulfilled
104,"I have been putting it off for a while now, (like 5 months) because I wasn't sure what I [wanted to] do to them, and I really [wanted to] try and paint them myself.",Fulfilled
105,One of my brothers [wanted to] beat me in a video game.,Unknown
106,"I had a poboy and a little bit of firemens four, but as we were driving home there was a homeless man sitting at an intersection and I [wanted to] give him the rest of my sandwich and I was about to when my dad looked inside the box and it was just bread,pickles,and some lettuce that looked like it lined the bottom of a dumpster.",Unfulfilled
107,"We went to Nando's for dinner yesterday, splurging a bit b/c we both [wanted to] try it, and indeed, it was worth it and totally good (also, not *that* expensive, but more than just making something here, of course!).",Fulfilled
108,"Mom gave the story on Friday, first L-A [wanted to] borrow the money to buy a camper, like mine but bigger, but that's not a good idea.",Unfulfilled
109,"They are going to be hanging on the wall once everything is said and done, but I [wanted to] go ahead and share them so I just propped them up for now!",Fulfilled
110,There was so much fuzz about the Wii I [wanted to] buy and give it a try.,Unfulfilled
111,I [wanted to] get some so I could have some raw apricot seeds as I've read they are good sources of vitamin B17.,Unfulfilled
112,She's found her feet today and [wanted to] play but I'm not sure what games to play with her.,Unknown
113,"But then I remembered we needed tomatoes, and Orlando said he [wanted to] plant a squash, and the basil was so gorgeous...",Fulfilled
114,"After that I can't recall exactly what we did, but everywhere we went she [wanted to] have one hand on my skirt or in my hand, following me like the most faithful shadow.",Unknown
115,I [wanted to] be a spy.,Unknown
116,"So, Mindy [wanted to] do something special and we talked and decided to do a surprise dinner for him.",Fulfilled
117,"I decided to go a bit longer with the guide by myself, but after about 10 minutes of trotting around Caramello decided he [wanted to] go back and be with his friends and there was no stopping him from doing so.",Fulfilled
118,"So, when my mom asked me what I [wanted to] eat when I was home later in July, I told her that I [wanted to] learn how to make beet salad.",Unfulfilled
119,If you really [wanted to] apologize you'd pick up the fuggin phone and call me instead of texting me like some high school sophomore.,Unfulfilled
120,I w-ed on Friday night and finished around 8:00 and so that gave me around 90 minutes to get myself organised if I [wanted to] sit in front of the TV and watch the much anticipated opening ceremony...,Fulfilled
121,Our narrator had to lose weight and had to lose weight and wasn't losing weight except she [wanted to].,Unfulfilled
122,I was excited because we've never shot in this kind of light before but I've always [wanted to]!,Fulfilled
123,"I'm sitting here eating lamb and vege stew, drinking a lucky beer (which I've [wanted to] try for ages, and happily discovered on my way home from the train station) and basking in a happy glow.",Fulfilled
124,When I learned how to change a flat tire I [wanted to] call my dad and tell him that his practicality was living on in northeast DC.,Unfulfilled
125,My daughter [wanted to] eat out when she got out of school.,Fulfilled
126,"I [wanted to] do something fun for the entrance of the birthday girl (like throw her up in the air 30 times), but the majority of Americans there looked at me like I came from the moon or from another country.",Unfulfilled
127,"Last week sometime, Gabe decided he [wanted to] go peepee on the toilet (I hadn't even taken the pot out of the box).",Fulfilled
128,"It was over an inch long, and a little scary looking, and I'm not sure but I think it could have flown if it had [wanted to], but I was able to get rid of it fairly easily.",Unfulfilled
129,And there's the time I finished my master's thesis and [wanted to] mail a copy to my grandmothers-both of whom have been dead for 21 and 3 years respectively.,Unfulfilled
130,"Since taking up this sport last year for the first time in my whole life, I have [wanted to] get out there and do it.",Fulfilled
131,"Actually, I was just bored and [wanted to] throw some sort of image up on the web.",Fulfilled
132,But the last week has been without a doubt the best week I've had all summer and I [wanted to] come some of the highlights,Fulfilled
133,"We had some errands to do, and I [wanted to] sit and chat with my boy before yoga class.",Unknown
134,Just [wanted to] let everyone know that I made it safe and sound.,Fulfilled
135,He [wanted to] keep it a secret from me.,Fulfilled
136,"While I don't know the full extent of your circumstances, I [wanted to] address your question because I believe that many individuals go through the same feelings of despair at one point or another in their lives.",Fulfilled
137,"And me and Spunkey were playing horse racing in the common room, before he decided he was bored of being a horse and [wanted to] be my jockey <_< needless to say we because in close contact with the floor.",Fulfilled
138,I wasn't particular--just whatever it [wanted to] give me--throughout the day.,Fulfilled
139,"I [wanted to] be beautiful for her, but my transparency was too obvious.",Unknown
140,"From the beginning our words had been drifting in the cosmos, and no one [wished to] arrest them.",Unknown
141,"However, he [wished to] come with me at the age of only 9.",Unfulfilled
142,"Anywho, we went back to the festival, and since the athletics had concluded the day before, they were allowing any who [wished to] try the different events, showing techniques for each.",Fulfilled
143,"I [wished to] be a better person this Ramadhan, but sometimes I felt like I can't reach my goals.",Fulfilled
144,"This was one of the reasons why I hated the morning shift at B&N, for once I got asleep, I [wished to] stay asleep.",Unfulfilled
145,"However lightly I [wished to] think of my fall, I found myself the next day suffering considerably from the effects of it, and the fatigue I had undergone.",Unfulfilled
146,This was a dissapointment for Christina (who [wished to] get me shitfaced) and Budd (who wanted to call me while I was shitfaced).,Unfulfilled
147,But several [wished to] know what I take.,Fulfilled
148,"I made it clear to my partner that my ""maybe"" stance was now a never so that he could decide for himself whether he [wished to] remain in a relationship with a woman unwilling to bear his(or anyone's) children.",Fulfilled
149,A few minutes later I then expanded upon this theory and the decided that instead of a man I [wished to] make a giant ball of bacon and then launch it into the sun in hopes of making the world smell of bacon.,Unknown
150,There was an occasion last week when I [wished to] rebuke my wife.,Unfulfilled
151,Finally I walked toward himP and asked him who he [wished to] givePthePdollP to.,Unknown
152,Apparently my purse is a purse in denial... all its life it has [wished to] be a swimming pool.,Fulfilled
153,I [wished to] visit St.,Fulfilled
154,And she told me she [wished to] look up one day.,Unknown
155,When I awoke on Thursday I telephoned work to inform them I could not come in and that my colleague had the details if they [wished to] know more.,Unknown
156,I [wished to] know the meaning of things.,Fulfilled
157,"With padding and stitching I kind of got the look, sill it was not what I [wished to] be.",Unfulfilled
158,I [wished to] be her on my 8th birthday...,Unfulfilled
159,I [couldn't wait to] get back to work today!,Fulfilled
160,Some very good friends moved from twin Falls to there and we [couldn't wait to] see them!,Fulfilled
161,"Most people, myself included, [couldn't wait to] see if we'd made it into the latest issue because it validated what we all needed most: to feel like somebody cared about our lives.",Unknown
162,Yesterday when we got there he [couldn't wait to] get away from me so he could go look at books.,Fulfilled
163,"After working in the office all day at the Dura office in Darmstadt, I [couldn't wait to] get outside.",Fulfilled
164,"Now I come to think about it, the reason that I fell in with clubbing was that, I [couldn't wait to] grow up, and be a matured adult.",Fulfilled
165,I was totally hooked and [couldn't wait to] see what she would write...,Fulfilled
166,It was last Saturday - my Amazon box arrived and I [couldn't wait to] go through my new cookbooks.,Fulfilled
167,"I will post some pictures and show you what we did in my next post, but I [couldn't wait to] fill you in with the yarn-related parts of our trip.",Fulfilled
168,All week I [couldn't wait to] see him.,Fulfilled
169,"I [decided to] do her ""kimkins experiment"" and only eat eggs and meat, nothing else.",Fulfilled
170,"We were already rained on, so we [decided to] play in the fountains",Unknown
171,Sometime in August I [decided to] get these Martha Wainright (sings Edith Piaf) tickets for Savanna.,Fulfilled
172,"After a day of being Philippa Gordon, I finally [decided to] go to school to get the TLDs.",Fulfilled
173,"I also had a hysterically, sobbing daughter on my lap last night because the current bf [decided to] break up with her... by text.",Fulfilled
174,"After the ears, she was listening to his chest and she said he was wheezing so she [decided to] give him a breathing treatment with a nebulizer while we were there.",Fulfilled
175,"So, we [decided to] go together and play backgammon in between loads.",Fulfilled
176,Brad and I [decided to] spend our summer vacation in our home town.,Fulfilled
177,"At the age of twelve, my parents [decided to] move to Florida, and being around the proper age, my father wanted me and my older brother to be confirmed in the Episcopal Church.",Fulfilled
178,Day 2 - The hike in Greenstone falls on the way to the trailhead we passed by the Greenstone falls trailhead and [decided to] stop.,Fulfilled
179,Had [hoped to] showing as a whole male even if a cat has the big round eyes and sweet open expression of the Persian are much loved members of our loving y and their health.,Unknown
180,"When we opened the dojo, I [hoped to] provide just as many special events for kids, so they could know that their place within the dojo is just as appreciated as the adults.",Fulfilled
181,"We brought lunch, but due to serious traffic issues, we were later than we'd [hoped to] be, and they didn't partake.",Unfulfilled
182,"As a youth, I imitated his singing and [hoped to] emulate his lyrics.",Unknown
183,I had [hoped to] nurse them longer.,Unfulfilled
184,One of the things I [hoped to] do this summer was buy one of Casey bell's sculptures to put in the garden.,Unknown
185,I [hoped to] teach him a few things about life.,Fulfilled
186,"I had [hoped to] buy bred ewes and worry about a ram next fall, but I may need to accelerate my plans if I do end up purchasing this whole herd.",Unknown
187,I had [hoped to] be caught up before we left on the trip... not exactly possible considering Sean picked up about 75 photos I had printed at Costco this afternoon... oh well at least I'm a little closer after today... and I finished scrapbooking our last trip before taking a new one... I can just try to have a scrapping marathon when we get back and before I start the new school year...,Unfulfilled
188,"I also [wanted to] get straight back on my bike, and this morning, when I knew I should get on the bus because I'd be sitting at a different desk and couldn't be sure my bike would be safe (it's a folding bike which fits under my desk)",Unfulfilled
189,"Today I really [wanted to] belt out ""Hello Dolly"" when I heard the interviewer's name was Delia.",Unfulfilled
190,"I heard that phrase, but I [wanted to] hear it again... but deep in my heart, I was already smiling...",Unknown
191,"I had no idea how to get started, I had no idea what I [wanted to] do for the rest of my life, and of course I was a high school drop out (not my finest moment)",Unknown
192,"I also [wanted to] know more about Marko and Pieter as I would also want to know more about cinnamon Crumble Apple Pie, or anything else.",Fulfilled
193,"I hadn't even considered it before, but after dreaming that, I [wanted to] do it.",Unfulfilled
194,"I [wanted to] show a certain someone to my non-TP friends, so I went around with Cristeen for half an hour asking anyone if they've seen a scene kid.",Unfulfilled
195,I [wanted to] call her so badly and ask her how to make gravy.,Unfulfilled
196,Then I decided on what I [wanted to] major in.,Fulfilled
197,I [wanted to] buy bubble tea while w8in but ended up in Mac thk to the 'orgainsed' shop (*pissed off)...,Unfulfilled
198,"But then the Olympics happened (I miss them, a lot, still, but I guess if we had them all the time they wouldn't be that special anymore, and now there's football, and I love football a lot), and I [wanted to] track everything while at work, and I went looking for ways to do that, and it turns out there were all sorts of sweet gadgets for it that went on iGoogle.",Fulfilled
199,I [wanted to] write a blog about it so I don't forget the details later on.,Fulfilled
200,"So anyways, for those of you that do follow along with my blogs and poems and all of that craziness, I just [wanted to] let you know why I got a new one and the other one is still there, it just wont be updated anymore since there is no room!",Fulfilled
201,"I [wanted to] do visual editing and management very much, but one of the core courses is such that it requires a prereq, which in turn requires its own prereq.",Unfulfilled
202,Just [wanted to] post so you all know I'm still here.,Fulfilled
203,They all [wanted to] go see these old plantations which isn't really my thing but I tagged along and it was ok.,Fulfilled
204,I couldn't finish my portion of rice and [wanted to] share the remaining with him.,Unfulfilled
205,I really [wanted to] listen to the music first but I also [wanted to] listen to it loudly.,Fulfilled
206,"So she [wanted to] go that moment, I needed a minute to get dressed.",Fulfilled
207,Don't get me wrong I don't mind doing it but sometimes I like to have a sook and be upset it would be nice if someone [wanted to] be there.,Unknown
208,"When they find out about my stint there, they usually ask the general question: ""how was it?"" For a long time I didn't know how to respond as I never knew what exactly they [wanted to] hear.",Fulfilled
209,"But anyway, I had a bad time at the Peugeot blue Box dealership at Jalan Chan sow Lin in Cheras- the malay guy that dealt with my car, Yazid, had a face you just [wanted to] slap (to wake him up).",Unfulfilled
210,"So I saw her doing it and tried to take her to bathroom and nothing... she just screamed and [wanted to] get off the toilet, tried again a few minutes later and nothing... more screaming.",Fulfilled
211,I [wanted to] have him here to lay me out on the table.,Unknown
212,Now I've watched it many times before but this time it made something inside me click and I decided that one day I [wanted to] be able to run a marathon.,Fulfilled
213,She [wanted to] know if my problem was better.,Fulfilled
214,"We went through about one or two aisles... mum got everything she needed, then she decided she was tired and [wanted to] go home -_- well I wasnt having that lol,",Unfulfilled
215,I even [wanted to] quit so I could study.,Fulfilled
216,"On Saturday was the Paramore concert but everyone I had asked months ago had made plans for that day and so I had no one to go with to the one band I ever [wanted to] see in concert, and it would be my first legit concert... but apparently it didn't matter.",Unfulfilled
217,I thought it was just some random flowery design at first and I was like wtf but then I realized they were skulls so I kind of [wanted to] steal them.,Unfulfilled
218,All I [wanted to] do is get my damn beef patty and go back home.,Unknown
219,"I [wanted to] cry, not because hubby laughed at me, I deserved it.",Unknown
220,"Well, we [wanted to] actually do something since I was rather cute last night (wish I'd gotten pictures before hand instead of just after because it was hella hot for some reason).",Fulfilled
221,Yesterday at 20am I drove to Wallingford with Kyle because I [wanted to] buy the Nightmare Before Christmas DVD and it was the closest 24-hour Wal*Mart.,Fulfilled
222,Sarah and I have [wanted to] get the kids down to the Detroit science Center all summer!,Fulfilled
223,I [wanted to] show them at least once what kind of drunk I was.,Fulfilled
224,"I [wanted to] update my money records, but since I haven't in a little over a month, it took a lot longer than I anticipated.",Fulfilled
225,"I knew marketing isn't what I [wanted to] do with my life, but all the interviews and the resumes I had sent out weren't getting me any closer to my dream job in journalism.",Unknown
226,"She said that if I really [wanted to] get well, I would manifest the right help and the means to pay for it.",Fulfilled
227,They really [wanted to] small room for an office and I don't want to take that from them.,Unknown
228,"Anyway... very boring, but [wanted to] record we got Foxtel today- the first time ever.",Fulfilled
229,"Partly because I was having fun, or taking care of things that I [wanted to] take care of.",Fulfilled
230,The family [wanted to] go swimming and I sort of have an aversion to the public display of blubber...,Fulfilled
231,"I just [wanted to] see the Americans, already.",Fulfilled
232,I asked Obake to take obscure (a game) with her since I'd heard her talk about it so much and [wanted to] see what it actually was like.,Fulfilled
233,Big News since late last year - wow- old news now I guess- but not for anyone else lol- Jeremy has gone back to his mum againSigh- I am over the whole toing ang froing thingHe said it was becasue he missed mum too much and [wanted to] go to high school with his year 6 friends- and fair ENOUGH too So... there you go- we miss him alot - but by now are used to it.,Unknown
234,I really felt like I [wanted to] throw up.,Unknown
235,I [wanted to] make shirts with his pic on it and cheer him on with a whole bunch of my coworkers.,Unfulfilled
236,"Omg... he was freakin huge, and I just [wanted to] touch his humongous guns!",Unknown
237,I picked some up and [wanted to] do more since they don't make for an exciting-looking gift.,Fulfilled
238,"Saturday night I really [wanted to] get out of the room, so Steve and I went to the block, which was incredibly packed.",Fulfilled
239,I think I lost my mind for a minute and [wanted to] make Jalynne hurt as bad as I did.,Fulfilled
240,"I got to our friends house after work on Friday around 1am, everyone was drunk already and after an hour Julien [wanted to] go home, I was wide awake and had just drunk a load of rum and red bull and said to him to stay so we could walk back together.",Unfulfilled
241,"Sis told me that she showed me profile, comp card, to people and they [wanted to] see me.",Fulfilled
242,"Apparently this girl, we'll call her Molly, [wanted to] play softball.",Fulfilled
243,"The two boys which were the funniest, played most for me and my friend hahaha I laughed a lot 'cuz the sound of these instruments was brutally comical *rofl* I [wanted to] ask some of the boys to give me a drum because I wanna play it... but I didn't know what to say... they watched us very strange maybe because we were laughing... but not because of them but because of the both boys and the sound hahaha finally they went... and I even didn't undertsand what exactly was happening in the centre",Unfulfilled
244,"I [wanted to] bath her on Sunday, but we were too tired after a 5 hour drive back from Arizona.",Unfulfilled
245,"Saturday we were all knackered, went out to eat for lunch, I ate too much and started sweating profusely, went shopping, lay around in the park, then we ended up going out to a really expensive restaurant for dinner because another friend [wanted to] and it wasn't even that good.",Fulfilled
246,"I had [wanted to] go to the meeting this week, but a friend showed up as I was looking for my keys to head out.",Unfulfilled
247,"We had to remove some people that we really [wanted to] come to make room for people who belonged (ie, family).",Fulfilled
248,We didn't care that every major college [wanted to] recruit Kerri Walsh.,Unknown
249,"He'd [wanted to] check on me and ask how I was, we hadn't really had a quiet moment.",Fulfilled
250,"And the more I learned about him, the less I [wanted to] leave him.",Unknown
251,"So me and my grandmother ate something or did something (I donno) that caused us to have headaches so bad that they induced vomiting, so they drugged us and made sure it wasn't something contagious, it was the most horrible thing that has ever happened to me, I [wanted to] cry the entire time, at one point I think that did start crying, I never want that to happen ever again.",Fulfilled
252,"So, Friday night, because I knew John [wanted to] talk, and because Kimmy was dying of boredom, I went up to the hotel to hang.",Fulfilled
253,"The stalls looked very elegant as blue and white (I think) strong tents and of course the kids [wanted to] quickly go on the rides - Ferris wheel - there were at least three of them, octopus, Sizzler, roller-coaster, etc. $2 a ride and a few free ones.",Fulfilled
254,"Then, I [wanted to] go over to her and say hi before she left, but I pratically refrain myself from doing that.",Unfulfilled
255,Just was not sure I [wanted to] write it.,Fulfilled
256,"Ugh - there were a couple of other things that I [wanted to] look through while I was there, but I have been so busy with family that I forgot.",Unfulfilled
257,"There was a blood drive at the mall, and as I passed, they asked if I [wanted to] do it.",Fulfilled
258,"Your eyes were on fire, and your smile told me what I [wanted to] know.",Fulfilled
259,"I have found that with some characters, I don't mind respec'cing (such as Losse, of course. ""Which spec are you this time?"" is the best question to ask if one [wanted to] invite me to an instance, as I could be resto for one instance, then a few hours later, feral), while, with others (such as Mel and Cir), the idea of being anything but what they are is... Strange.",Unknown
260,"Yes I stole it, yes it was never my name, I [wanted to] be her, to be something like her and that's why I used her name, forgetting that it has always been her name and never mine.",Unfulfilled
261,"One year ago, I was worried about my job; the job that I [wanted to] keep rather.",Fulfilled
262,I [wanted to] take a moment to share a lesson I learned about perspective.,Fulfilled
263,"We danced around the inevitable; I had never done this before, but I [wanted to], and I wanted it with you.",Fulfilled
264,I really [wanted to] see Rufus Wainwright tonight at the church - I had bought tickets and everything.,Unfulfilled
265,"I was panicking about moving in there, thinking I didnt know if I really [wanted to] do it.",Unknown
266,We [wanted to] sing till it closed... wahaha...,Unknown
